iter	Logloss
0	0.61038351
1	0.537155971
2	0.4744264788
3	0.4170846122
4	0.3643454939
5	0.3207278878
6	0.2839190151
7	0.2509968959
8	0.2190164621
9	0.1939188756
10	0.1653928746
11	0.1461904297
12	0.1292503139
13	0.1150475987
14	0.1022472098
15	0.0913953683
16	0.08207747977
17	0.07386071777
18	0.06614585658
19	0.05902239118
20	0.05359453474
21	0.04869426618
22	0.04391809082
23	0.03987058803
24	0.0359458313
25	0.03254108974
26	0.02960830035
27	0.02714573233
28	0.02453700692
29	0.02249279349
30	0.02058723014
31	0.01902959333
32	0.01732148307
33	0.01606104606
34	0.01473001317
35	0.01370709011
36	0.01282588414
37	0.01196836853
38	0.01111105129
39	0.01037363325
40	0.009667800903
41	0.009021653312
42	0.008302292415
43	0.007695546831
44	0.007186471122
45	0.006673943656
46	0.006187080383
47	0.005756147657
48	0.005433280945
49	0.005186007363
50	0.004879475185
51	0.004584893363
52	0.004321373531
53	0.004083307266
54	0.003828880038
55	0.00364021601
56	0.003445514134
57	0.003273003442
58	0.003071265629
59	0.00291778401
60	0.00278622709
61	0.002637518747
62	0.002497905459
63	0.002368404933
64	0.002261727606
65	0.002174363817
66	0.002082302638
67	0.001992164339
68	0.001908227103
69	0.001818899018
70	0.001747407096
71	0.001687111446
72	0.001622311865
73	0.001557025092
74	0.001502597128
75	0.001446198191
76	0.001403101376
77	0.001353680747
78	0.001313890185
79	0.001276653562
80	0.001242879595
81	0.001204345567
82	0.001162141255
83	0.001129132748
84	0.001099765573
85	0.001071830613
86	0.001041880608
87	0.001016965049
88	0.0009895578793
89	0.0009649102347
90	0.0009398960386
91	0.0009181203161
92	0.0008929098674
93	0.0008669109344
94	0.0008437222072
95	0.0008245278767
96	0.000803345544
97	0.0007810793604
98	0.0007613596235
99	0.0007450184822
100	0.0007264883178
101	0.0007111050742
102	0.0006964131764
103	0.0006830895969
104	0.0006694928578
105	0.0006578127997
106	0.0006434209006
107	0.0006311924117
108	0.0006165952682
109	0.0006056996754
110	0.0005954501288
111	0.0005820744378
112	0.000570958989
113	0.0005527632918
114	0.0005410937582
115	0.0005318798678
116	0.0005211649282
117	0.0005100084714
118	0.0005012455668
119	0.0004911022867
120	0.0004832825661
121	0.0004753361089
122	0.0004680160795
123	0.0004613069126
124	0.000453009946
125	0.0004458941051
126	0.0004374313354
127	0.0004295970372
128	0.0004210448265
129	0.0004154908998
130	0.0004095267568
131	0.0004022860527
132	0.0003972586564
133	0.0003908499309
134	0.0003834465572
135	0.000378369127
136	0.0003730506556
137	0.0003680633136
138	0.0003636741638
139	0.0003591489792
140	0.0003542798587
141	0.0003488664286
142	0.0003442334448
143	0.0003386480808
144	0.0003342340333
145	0.0003291502339
146	0.0003242722239
147	0.0003202330385
148	0.0003165143217
149	0.0003124173369
150	0.0003090046133
151	0.0003050422668
152	0.000301923854
153	0.0002984011514
154	0.0002919358185
155	0.0002884524209
156	0.0002843384402
157	0.0002811868191
158	0.0002776326111
159	0.0002738615274
160	0.0002712082522
161	0.0002679713964
162	0.0002649700642
163	0.0002620923008
164	0.0002591548136
165	0.0002560210058
166	0.0002528824295
167	0.0002506214551
168	0.0002477567536
169	0.0002450341838
170	0.0002421517372
171	0.0002396939823
172	0.0002375553846
173	0.0002351156814
174	0.0002327508245
175	0.0002304228033
176	0.0002281510319
177	0.0002260795661
